yy;mm;banda;SiteID;Tmax;Elevation;x;y
2000;1;40;aeronautica_6891;15.514285714285714;24.800743103027344;1023.9462536644774;4155.71266282768
2001;1;41;aeronautica_6891;17.36774193548387;24.800743103027344;1023.9462536644774;4155.71266282768
2002;1;42;aeronautica_6891;16.526666666666667;24.800743103027344;1023.9462536644774;4155.71266282768
2003;1;43;aeronautica_6891;17.35483870967742;24.800743103027344;1023.9462536644774;4155.71266282768
2004;1;44;aeronautica_6891;17.238709677419354;24.800743103027344;1023.9462536644774;4155.71266282768
2005;1;45;aeronautica_6891;16.38064516129032;24.800743103027344;1023.9462536644774;4155.71266282768
2006;1;46;aeronautica_6891;15.45483870967742;24.800743103027344;1023.9462536644774;4155.71266282768
2007;1;47;aeronautica_6891;18.780645161290323;24.800743103027344;1023.9462536644774;4155.71266282768
2008;1;48;aeronautica_6891;18.246666666666666;24.800743103027344;1023.9462536644774;4155.71266282768
2009;1;49;aeronautica_6891;17.03548387096774;24.800743103027344;1023.9462536644774;4155.71266282768
2010;1;50;aeronautica_6891;16.3;24.800743103027344;1023.9462536644774;4155.71266282768
2011;1;51;aeronautica_6891;17.135483870967743;24.800743103027344;1023.9462536644774;4155.71266282768
2012;1;52;aeronautica_6891;15.974193548387097;24.800743103027344;1023.9462536644774;4155.71266282768
2013;1;53;aeronautica_6891;16.651612903225807;24.800743103027344;1023.9462536644774;4155.71266282768
2014;1;54;aeronautica_6891;NA;24.800743103027344;1023.9462536644774;4155.71266282768
2015;1;55;aeronautica_6891;17.706451612903226;24.800743103027344;1023.9462536644774;4155.71266282768
2016;1;56;aeronautica_6891;17.63225806451613;24.800743103027344;1023.9462536644774;4155.71266282768
2017;1;57;aeronautica_6891;15.72;24.800743103027344;1023.9462536644774;4155.71266282768
2018;1;58;aeronautica_6891;17.835483870967742;24.800743103027344;1023.9462536644774;4155.71266282768
2019;1;59;aeronautica_6891;15.651612903225807;24.800743103027344;1023.9462536644774;4155.71266282768
2020;1;60;aeronautica_6891;15.787096774193548;24.800743103027344;1023.9462536644774;4155.71266282768
1961;1;1;aeronautica_6893;NA;28.57195472717285;1035.255099116902;4163.907067716097
1962;1;2;aeronautica_6893;NA;28.57195472717285;1035.255099116902;4163.907067716097
1963;1;3;aeronautica_6893;NA;28.57195472717285;1035.255099116902;4163.907067716097
1964;1;4;aeronautica_6893;NA;28.57195472717285;1035.255099116902;4163.907067716097
1965;1;5;aeronautica_6893;15.025806451612903;28.57195472717285;1035.255099116902;4163.907067716097
1966;1;6;aeronautica_6893;15.406666666666666;28.57195472717285;1035.255099116902;4163.907067716097
1967;1;7;aeronautica_6893;15.632258064516128;28.57195472717285;1035.255099116902;4163.907067716097
1968;1;8;aeronautica_6893;14.780645161290321;28.57195472717285;1035.255099116902;4163.907067716097
1969;1;9;aeronautica_6893;15.64516129032258;28.57195472717285;1035.255099116902;4163.907067716097
1970;1;10;aeronautica_6893;16.429032258064517;28.57195472717285;1035.255099116902;4163.907067716097
1971;1;11;aeronautica_6893;15.654838709677419;28.57195472717285;1035.255099116902;4163.907067716097
1972;1;12;aeronautica_6893;NA;28.57195472717285;1035.255099116902;4163.907067716097
1973;1;13;aeronautica_6893;15.203225806451613;28.57195472717285;1035.255099116902;4163.907067716097
1974;1;14;aeronautica_6893;16.467741935483872;28.57195472717285;1035.255099116902;4163.907067716097
1975;1;15;aeronautica_6893;15.98;28.57195472717285;1035.255099116902;4163.907067716097
1976;1;16;aeronautica_6893;15.927586206896551;28.57195472717285;1035.255099116902;4163.907067716097
1977;1;17;aeronautica_6893;16.15806451612903;28.57195472717285;1035.255099116902;4163.907067716097
1978;1;18;aeronautica_6893;15.383870967741936;28.57195472717285;1035.255099116902;4163.907067716097
1979;1;19;aeronautica_6893;14.816129032258065;28.57195472717285;1035.255099116902;4163.907067716097
1980;1;20;aeronautica_6893;14.86774193548387;28.57195472717285;1035.255099116902;4163.907067716097
1981;1;21;aeronautica_6893;13.887096774193548;28.57195472717285;1035.255099116902;4163.907067716097
1982;1;22;aeronautica_6893;16.40967741935484;28.57195472717285;1035.255099116902;4163.907067716097
1983;1;23;aeronautica_6893;15.416666666666666;28.57195472717285;1035.255099116902;4163.907067716097
1984;1;24;aeronautica_6893;15.725806451612902;28.57195472717285;1035.255099116902;4163.907067716097
1985;1;25;aeronautica_6893;15.54516129032258;28.57195472717285;1035.255099116902;4163.907067716097
1986;1;26;aeronautica_6893;15.95483870967742;28.57195472717285;1035.255099116902;4163.907067716097
1987;1;27;aeronautica_6893;15.76774193548387;28.57195472717285;1035.255099116902;4163.907067716097
1988;1;28;aeronautica_6893;17.064516129032256;28.57195472717285;1035.255099116902;4163.907067716097
1989;1;29;aeronautica_6893;15.474193548387097;28.57195472717285;1035.255099116902;4163.907067716097
1990;1;30;aeronautica_6893;15.512903225806452;28.57195472717285;1035.255099116902;4163.907067716097
1991;1;31;aeronautica_6893;16.016129032258064;28.57195472717285;1035.255099116902;4163.907067716097
1992;1;32;aeronautica_6893;15.435483870967742;28.57195472717285;1035.255099116902;4163.907067716097
1993;1;33;aeronautica_6893;16.032258064516128;28.57195472717285;1035.255099116902;4163.907067716097
1994;1;34;aeronautica_6893;16.44516129032258;28.57195472717285;1035.255099116902;4163.907067716097
1995;1;35;aeronautica_6893;15.23225806451613;28.57195472717285;1035.255099116902;4163.907067716097
1996;1;36;aeronautica_6893;15.512903225806452;28.57195472717285;1035.255099116902;4163.907067716097
1997;1;37;aeronautica_6893;16.16774193548387;28.57195472717285;1035.255099116902;4163.907067716097
1998;1;38;aeronautica_6893;15.63225806451613;28.57195472717285;1035.255099116902;4163.907067716097
1999;1;39;aeronautica_6893;15.00344827586207;28.57195472717285;1035.255099116902;4163.907067716097
2000;1;40;aeronautica_6893;14.125806451612902;28.57195472717285;1035.255099116902;4163.907067716097
